path,label,session_id,fold_grouped,fold_random
Cracking/Image_20231128195336980.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128195406987.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128195436986.jpg,Cracking,Cracking__20231128-195336,0,0
Cracking/Image_20231128195506996.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128195537006.jpg,Cracking,Cracking__20231128-195336,0,0
Cracking/Image_20231128195607013.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128195636965.jpg,Cracking,Cracking__20231128-195336,0,2
Cracking/Image_20231128195706966.jpg,Cracking,Cracking__20231128-195336,0,0
Cracking/Image_20231128195736979.jpg,Cracking,Cracking__20231128-195336,0,0
Cracking/Image_20231128195806986.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128195836996.jpg,Cracking,Cracking__20231128-195336,0,0
Cracking/Image_20231128195906994.jpg,Cracking,Cracking__20231128-195336,0,2
Cracking/Image_20231128195937002.jpg,Cracking,Cracking__20231128-195336,0,2
Cracking/Image_20231128200007017.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128200036967.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128200106969.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128200136974.jpg,Cracking,Cracking__20231128-195336,0,0
Cracking/Image_20231128200206984.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128200236984.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128200306992.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128200337012.jpg,Cracking,Cracking__20231128-195336,0,2
Cracking/Image_20231128200407012.jpg,Cracking,Cracking__20231128-195336,0,2
Cracking/Image_20231128200436964.jpg,Cracking,Cracking__20231128-195336,0,0
Cracking/Image_20231128200506977.jpg,Cracking,Cracking__20231128-195336,0,0
Cracking/Image_20231128200536985.jpg,Cracking,Cracking__20231128-195336,0,0
Cracking/Image_20231128200606985.jpg,Cracking,Cracking__20231128-195336,0,2
Cracking/Image_20231128200636988.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128200706998.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128200736958.jpg,Cracking,Cracking__20231128-195336,0,2
Cracking/Image_20231128200806963.jpg,Cracking,Cracking__20231128-195336,0,0
Cracking/Image_20231128200836964.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128200906976.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128200936980.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128201006991.jpg,Cracking,Cracking__20231128-195336,0,2
Cracking/Image_20231128201037000.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128201107001.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128201136957.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128201206957.jpg,Cracking,Cracking__20231128-195336,0,2
Cracking/Image_20231128201236968.jpg,Cracking,Cracking__20231128-195336,0,2
Cracking/Image_20231128201306973.jpg,Cracking,Cracking__20231128-195336,0,1
Cracking/Image_20231128201336982.jpg,Cracking,Cracking__20231128-195336,0,0
